School Year,District Code,District Type,District,School Code,School Type,Organization,Lowest Grade Served,Highest Grade Served,Street1,Street2,City,State,Zip,County,Geocoded Location
2015,0,Not Applicable,State of Delaware,0,Not Applicable,State of Delaware,PK,12,401 Federal Street,Suite 2,Dover,DE,199013639,Kent,POINT (-75.522463 39.157846)
2015,10,Regular,Caesar Rodney School District,0,Not Applicable,Caesar Rodney School District,PK,12,7 Front Street,,Wyoming,DE,19934,Kent,POINT (-75.552746 39.119536000000004)
2015,10,Regular,Caesar Rodney School District,610,PUBLIC,Allen Frear Elementary School,01,05,238 Sorghum Mill Road,,Camden,DE,19934,Kent,POINT (-75.512694 39.102472)
2015,10,Regular,Caesar Rodney School District,611,PUBLIC,J. Ralph McIlvaine Early Childhood Center,KG,KG,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,
2015,10,Regular,Caesar Rodney School District,612,PUBLIC,Major George S. Welch Elementary School,01,05,3100 Hawthorne Drive,,Dover,DE,199015391,Kent,
2015,10,Regular,Caesar Rodney School District,615,PUBLIC,Kent Elementary Intensive Learning Center,KG,05,5 Old North Road,,Camden,DE,199341247,Kent,POINT (-75.55001 39.11888)
2015,10,Regular,Caesar Rodney School District,616,PUBLIC,Nellie Hughes Stokes Elementary School,01,05,3874 Upper King Road,,Dover,DE,19904,Kent,POINT (-75.553997 39.101762)
2015,10,Regular,Caesar Rodney School District,617,PUBLIC,F. Niel Postlethwait Middle School ILC,06,08,2841 South State Street,,Camden,DE,19934,Kent,POINT (-75.51255 39.099045000000004)
2015,10,Regular,Caesar Rodney School District,618,PUBLIC,Star Hill Elementary School,01,05,594 Voshells Mill/Star Hill Road,,Dover,DE,199016121,Kent,POINT (-75.533221 39.099764)
2015,10,Regular,Caesar Rodney School District,619,PUBLIC,Fred Fifer III Middle School ILC,06,08,109 East Camden-Wyoming Avenue,,Camden,DE,199341250,Kent,POINT (-75.552243 39.115774)
2015,10,Regular,Caesar Rodney School District,620,PUBLIC,W. B. Simpson Elementary School,01,05,5 Old North Road,,Camden,DE,199341247,Kent,POINT (-75.55001 39.11888)
2015,10,Regular,Caesar Rodney School District,621,PUBLIC,F. Niel Postlethwait Middle School,06,08,2841 South State Street,,Camden,DE,199349627,Kent,POINT (-75.51255 39.099045000000004)
2015,10,Regular,Caesar Rodney School District,622,PUBLIC,W. Reily Brown Elementary School,01,05,360 Webbs Lane,,Dover,DE,199045438,Kent,POINT (-75.538851 39.132505)
2015,10,Regular,Caesar Rodney School District,625,PUBLIC,Fred Fifer III Middle School,06,08,109 East Camden-Wyoming Avenue,,Camden,DE,199341250,Kent,POINT (-75.552243 39.115774)
2015,10,Regular,Caesar Rodney School District,626,PUBLIC,Caesar Rodney High School,09,12,239 Old North Road,,Camden,DE,19934,Kent,POINT (-75.542247 39.117947)
2015,10,Regular,Caesar Rodney School District,628,PUBLIC,Dover Air Force Base Middle School,06,08,3100 Hawthorne Drive,,Dover,DE,199015391,Kent,
2015,10,Regular,Caesar Rodney School District,630,PUBLIC,John S. Charlton School,PK,12,278 Sorghum Mill Road,,Camden-Wyoming,DE,19901,Kent,POINT (-75.511599 39.103214)
